#    x        y        z       vx       vy       vz       Mv       VI
  2.468  -21.739    7.154   51.255  -53.057 -229.317  0.568  0.919
  2.588  -21.578    6.551   49.380  -56.937 -230.193  0.171  0.955
  2.927  -20.670    7.183   46.957  -59.110 -232.427  0.171  0.955
  2.523  -21.303    7.052   55.578  -54.709 -240.250  0.090  0.964
  2.691  -20.846    6.151   53.988  -63.830 -236.885  0.090  0.964
  2.570  -20.894    7.392   55.507  -57.647 -235.640  0.025  0.970
  2.218  -21.408    6.192   53.924  -59.087 -236.709 -0.057  0.978
  2.924  -21.058    5.546   54.061  -63.930 -238.380 -0.153  0.989
  2.110  -22.259    6.673   52.343  -51.621 -235.433 -0.252  1.001
  2.704  -21.361    7.139   49.917  -49.372 -234.933 -0.612  1.051
  3.277  -22.349    6.572   57.095  -48.403 -234.790 -0.612  1.051
  1.921  -22.368    7.018   59.074  -55.409 -229.277 -0.804  1.080
  2.387  -21.181    6.248   51.876  -54.769 -239.429 -0.984  1.111
  2.096  -22.622    6.665   51.784  -59.085 -228.399 -1.864  1.320
  2.229  -21.747    6.769   54.199  -54.903 -234.541 -2.087  1.394
  2.573  -21.302    6.723   53.151  -62.130 -235.359 -2.230  1.448
  2.355  -22.121    6.581   55.446  -59.982 -235.374 -0.769  0.988
  2.571  -22.569    6.710   61.180  -45.891 -232.482 -1.342  1.120
  2.393  -21.148    4.930   51.629  -43.535 -224.395  0.837  1.013
  2.527  -22.021    4.574   48.642  -46.124 -226.815  0.837  1.013
  2.092  -22.043    5.434   54.760  -45.412 -222.349  0.745  1.024
  2.804  -20.517    4.589   46.378  -42.891 -230.461  0.652  1.034
